"Indicator type","Indicator","Description"
"URL","http://web3-storage-sv15-5.web3.dwebops.net/",""
"URL","http://wmjdvu.limyonly.me",""
"URL","http://wmjdvu.limyonly.me/",""
"URL","http://ww1.azure-drive.com/",""
"URL","http://ww1.cloudlstorage.com",""
"URL","http://ww1.microsoft-support.net",""
"URL","http://ww12.microsoft-support.net",""
"URL","http://www.10fdd534f.3799e44c4.66521.ns3.microsoft-support.net",""
"URL","http://www.ankining.com/",""
"URL","http://www.cavanic9.net/",""
"URL","http://www.la?nestrasulcielo.es",""
"URL","http://www.materapaper.com/",""
"URL","http://www.materapaper.com/about-matera-paper-company",""
"URL","https://21947.ns3.microsoft-support.net",""
"URL","https://42132.ns3.microsoft-support.net",""
"URL","https://51317.ns3.microsoft-support.net",""
"URL","https://72474.ns3.microsoft-support.net",""
"URL","https://96631.ns3.microsoft-support.net",""
"URL","https://alrwork.egscorp.net",""
"URL","https://alrwork.egscorp.net/",""
"URL","https://alza.cz.download.cloudlstorage.com/",""
"URL","https://api.040ea135d.2034ff2.ns3.microsoft-support.net",""
"URL","https://api.egscorp.net/",""
"URL","https://api.menuu.dev-bulbera.com",""
"URL","https://authenticate.azure",""
"URL","https://authenticate.azure-drive.com/",""
"URL","https://bfyl.pixarworks.com",""
"URL","https://bit.ly.cloudlstorage.com/",""
"URL","https://boe.pixarworks.com",""
"URL","https://cat.hbwrapper.com",""
"URL","https://cat.hbwrapper.com/",""
"URL","https://cat1.hbwrapper.com",""
"URL","https://cat1.hbwrapper.com/",""
"URL","https://cat2.hbwrapper.com",""
"URL","https://cat2.hbwrapper.com/",""
"URL","https://cat3.hbwrapper.com",""
"URL","https://cat3.hbwrapper.com/",""
"URL","https://cms-dev.menuu.dev-bulbera.com",""
"URL","https://cms-qa.menuu.dev-bulbera.com",""
"URL","https://cms-staging.menuu.dev-bulbera.com",""
"URL","https://csbc.itaiwans.com",""
"URL","https://dc-1fbadffa953e.limyonly.me",""
"URL","https://dc-79a2350418d0.limyonly.me",""
"URL","https://devbfe2.disknxt.com/",""
"URL","https://dfp.build38.io",""
"URL","https://docs.microsoft-support.net/",""
"URL","https://download.azure-drive.com/",""
"URL","https://eeb71bf6c.disknxt.com",""
"URL","https://eeb71bf6c.disknxt.com/",""
"URL","https://eeb71bfffffff6c.disknxt.com",""
"URL","https://fd471sx.disknxt.com",""
"URL","https://fe6beb71c.disknxt.com",""
"URL","https://forest.itaiwans.com",""
"URL","https://frontend-dev.menuu.dev-bulbera.com",""
"URL","https://frontend-qa.menuu.dev-bulbera.com",""
"URL","https://frontend-staging.menuu.dev-bulbera.com",""
"URL","https://ga.menuu.dev-bulbera.com",""
"URL","https://gateway.dwebops.net/",""
"URL","https://gdrive.azure-drive.com",""
"URL","https://ie.update.cloudlstorage.com/",""
"URL","https://ipfs-bank1-dc13.ipfs.gateway.dwebops.net/",""
"URL","https://ipfs-bank6-dc13.ipfs.gateway.dwebops.net/",""
"URL","https://klantenservice.livera.nl/hc/nl/articles/4408299960209-Hoe-retourneer-ik-mijn-Click-Collect-bestelling-",""
"URL","https://kubo-staging-us-east-02.ovh.dwebops.net/",""
"URL","https://lets.go.prweekus.com/campaign-unsubscribe-sure",""
"URL","https://library.itaiwans.com",""
"URL","https://library.itaiwans.com/",""
"URL","https://m2o9s8.cj93pisk03kds5.xyz",""
"URL","https://macro.azure-drive.com",""
"URL","https://macro.azure-drive.com/","b5378a12e359a27a0c92f53fefa2b4c21673781b7e76f54495d58ad72a927839"
"URL","https://menuu.dev-bulbera.com",""
"URL","https://nft3-storage-am6-5.nft3.dwebops.net/",""
"URL","https://nft3-storage-dc13-8.nft3.dwebops.net/",""
"URL","https://nft3-storage-sv15-9.nft3.dwebops.net/",""
"URL","https://ns-1865.awsdns-41.co.uk",""
"URL","https://ns-1866.awsdns-41.co.uk",""
"URL","https://ns-1867.awsdns-41.co.uk",""
"URL","https://ns-1868.awsdns-41.co.uk",""
"URL","https://ns-1869.awsdns-41.co.uk",""
"URL","https://ns-1870.awsdns-41.co.uk",""
"URL","https://ns-1871.awsdns-41.co.uk",""
"URL","https://ns-1872.awsdns-41.co.uk",""
"URL","https://ns1.limyonly.me",""
"URL","https://ns10.microsoft-support.net/",""
"URL","https://ns2.limyonly.me",""
"URL","https://ns9.microsoft-support.net/",""
"URL","https://nsoftgetpc.com/",""
"URL","https://nspo.itaiwans.com",""
"URL","https://nuedigital.hl-now.de",""
"URL","https://paris.cavanic9.net/",""
"URL","https://procfu.com/widgets/mcapp/8pyhjgqkkxex?enlace=3055883680a123673",""
"URL","https://protect.azure-drive.com",""
"URL","https://protect.azure-drive.com/",""
"URL","https://rakuten.download.cloudlstorage.com",""
"URL","https://rakuten.download.cloudlstorage.com/",""
"URL","https://rmm.egscorp.net",""
"URL","https://u8ey0s2l3d42.i7y8uxm02pls2.xyz",""
"URL","https://u8ey0s2l3d6.i7y8uxm02pls2.xyz/",""
"URL","https://update.ankining.com",""
"URL","https://update.ankining.com/",""
"URL","https://update.microsoft-support.net/",""
"URL","https://verify.azure-drive.com",""
"URL","https://verify.azure-drive.com/",""
"URL","https://web3-storage-am6-4.web3.dwebops.net/",""
"URL","https://web3-storage-sv15-5.web3.dwebops.net/",""
"URL","https://wmjdvu.limyonly.me",""
"URL","https://wmjdvu.limyonly.me/",""
"URL","https://wmjdvuif.limyonly.me/",""
"URL","https://ww1.azure-drive.com/",""
"URL","https://ww1.cloudlstorage.com",""
"URL","https://ww1.microsoft-support.net",""
"URL","https://ww12.microsoft-support.net",""
"URL","https://www.10fdd534f.3799e44c4.66521.ns3.microsoft-support.net",""
"URL","https://www.ankining.com/",""
"URL","https://www.cavanic9.net/","56e6968a127729565d6170d784e60bb5c62a392167a7db3b5493fdfe433fd4fc"
"URL","https://www.livera.nl/alle-producten-lingerie/alle-badmode.html?page=2",""
"URL","https://www.livera.nl/alle-producten-lingerie/alle-badmode.html?page=3",""
"URL","https://www.livera.nl/alle-producten-lingerie/alle-badmode.html?page=4",""
"URL","https://www.livera.nl/alle-producten-lingerie/alle-badmode.html?page=5",""
"URL","https://www.livera.nl/alle-producten-lingerie/alle-badmode.html?page=6",""
"URL","https://www.livera.nl/alle-producten-lingerie/alle-badmode.html?page=7",""
"URL","https://www.microsoft-support.net/",""
"domain","10sillas.com",""
"domain","123tramites.com",""
"domain","14-tracking.com",""
"domain","1drivelive.com",""
"domain","1minto-start.com",""
"domain","24-7clinic.com",""
"domain","2vgshr.com",""
"domain","301-redirecting.com",""
"domain","365redirect.co",""
"domain","3dhengineering.com.mx",""
"domain","3driving.com",""
"domain","456h612i458g.com",""
"domain","512kb.club",""
"domain","7style.org",""
"domain","800health.net",""
"domain","911hig11carcay959454.com",""
"domain","a-redirect.com",""
"domain","a-resolver.com",""
"domain","aa308.es",""
"domain","aalaan.tv",""
"domain","abinternet.es",""
"domain","ablazenutrient.net",""
"domain","abreastelongated.com",""
"domain","abroadwizard.net",""
"domain","absintheskewer.net",""
"domain","absolutecool.net",""
"domain","abstainoxymoron.net",""
"domain","acceptway.com",""
"domain","accessoticketing.com",""
"domain","accomodation-tastes.net",""
"domain","accountant-audio.com",""
"domain","accountcanceled.com",""
"domain","accountnotify.com",""
"domain","accounts.mx",""
"domain","accountsections.com",""
"domain","accountsecurities.org",""
"domain","acetonenemesis.net",""
"domain","acidconfront.link",""
"domain","acquaditerraverde.com",""
"domain","activate-discount.com",""
"domain","activatepromenade.org",""
"domain","active-folders.com",""
"domain","activecurrent.net",""
"domain","actorsshop.net",""
"domain","actu24.online",""
"domain","acutelysilenced.net",""
"domain","acutenessoverwrite.net",""
"domain","ad-generator.net",""
"domain","ad-switcher.com",""
"domain","add-client.com",""
"domain","additional-costs.com",""
"domain","addmyid.net",""
"domain","addresstimeframe.com",""
"domain","adeal4u.co",""
"domain","adjust-local-settings.com",""
"domain","adjustlocalsettings.net",""
"domain","adscreator.net",""
"domain","adsload.co",""
"domain","adsmetrics.co",""
"domain","advert-time.com",""
"domain","advert-track.com",""
"domain","aerosolchoosing.link",""
"domain","aerospacecesarean.net",""
"domain","affairplausibly.com",""
"domain","affordculminate.com",""
"domain","afraidprevalent.net",""
"domain","africatech.eu",""
"domain","afrinews.eu",""
"domain","afriquenouvelle.com",""
"domain","aftermathafoot.net",""
"domain","agenziaentrate.icu",""
"domain","agenziaentrateinformazioni.icu",""
"domain","agenziainformazioni.icu",""
"domain","aghastmascot.net",""
"domain","agilityprocessing.net",""
"domain","agpolerobe.org",""
"domain","agreeablyboxcar.net",""
"domain","agreementdental.net",""
"domain","agshiphazy.net",""
"domain","agstickglaring.net",""
"domain","agstoneblatantly.net",""
"domain","ahorrodiario.com",""
"domain","ahoyculinary.org",""
"domain","aideoutskirts.com",""
"domain","aircraftsxhibition.com",""
"domain","airsoluzioni.com",""
"domain","ajelnews.net",""
"domain","akhbar-aliqtisad.com",""
"domain","akhbar-almasdar.com",""
"domain","akhbar-arabia.com",""
"domain","akhbar-islamyah.com",""
"domain","akhbara-aalawsat.com",""
"domain","akhbarnew.com",""
"domain","akinetevassar.com",""
"domain","al-nusr.net",""
"domain","al-taleanewsonline.net",""
"domain","al7erak247.com",""
"domain","al7eraknews.com",""
"domain","alawaeltech.com",""
"domain","albumautomatic.net",""
"domain","albumphotopro.biz",""
"domain","alert.com",""
"domain","alert.net",""
"domain","alert.org",""
"domain","alertanalysis.org",""
"domain","aliascannon.com",""
"domain","alignmentdisabled.net",""
"domain","alive2plunge.com",""
"domain","alivemultiply.link",""
"domain","all-apk.info",""
"domain","all-sales.info",""
"domain","allafricaninfo.com",""
"domain","allbeautifularts.com",""
"domain","alldaycooking.co",""
"domain","allergiesandcooking.com",""
"domain","allfadiha.co",""
"domain","alljazeera.co",""
"domain","allladiesloveme.com",""
"domain","alloggiocenthia.com",""
"domain","allthecolorsyoulike.com",""
"domain","allthegamesyouneed.com",""
"domain","allthemakeupyouneed.com",""
"domain","allthesongsyoulike.com",""
"domain","alluneed4home.net",""
"domain","almentaricollections.net",""
"domain","aloha-edc.net",""
"domain","alphabetrepeal.org",""
"domain","alpharythme.com",""
"domain","alrainew.com",""
"domain","althoughslot.net",""
"domain","aluminummollusk.com",""
"domain","alumnipolar.com",""
"domain","alyshacoffee.com",""
"domain","amazingpotluck.net",""
"domain","ameattentive.org",""
"domain","amicoaiuto.com",""
"domain","amideasiest.net",""
"domain","amorematerno.net",""
"domain","amperagechasing.net",""
"domain","amplypsychic.net",""
"domain","android-core.org",""
"domain","android-updates.net",""
"domain","androidcheckupdate.com",""
"domain","aneurismcharbroil.com",""
"domain","angelicabags.net",""
"domain","anglerregroup.net",""
"domain","anglesyen.org",""
"domain","angryheaps.link",""
"domain","animalcrushable.net",""
"domain","annuitygrove.net",""
"domain","annuityguts.net",""
"domain","annuitytwigged.org",""
"domain","antacidtag.com",""
"domain","antelopehandsaw.com",""
"domain","antennaereanalyze.com",""
"domain","anthologytweet.net",""
"domain","antiheronutshell.net",""
"domain","antiruststylized.com",""
"domain","antwaltz.com",""
"domain","anunciopublicidad.com",""
"domain","anytimeyippee.com",""
"domain","aoacugmutagkwctu.onion",""
"domain","aortauncapped.net",""
"domain","apcdlords.net",""
"domain","apiapple.com",""
"domain","apigraphs.net",""
"domain","apiwacdn.com",""
"domain","apk-get-update.info",""
"domain","apk-rool.info",""
"domain","apk-tools.info",""
"domain","apk-update.info",""
"domain","apkbit.info",""
"domain","apkeseay.info",""
"domain","apkhila.info",""
"domain","apkitsall.info",""
"domain","apkrool.info",""
"domain","apks-rec.info",""
"domain","apktool.info",""
"domain","apktwin.info",""
"domain","appetiteretreat.com",""
"domain","applegoatskin.net",""
"domain","appleleaveit.co",""
"domain","applibraryupdate.network",""
"domain","applicationcreation.net",""
"domain","appointments-online.com",""
"domain","approvalrocking.org",""
"domain","appsfans.info",""
"domain","appsgratis.com.mx",""
"domain","appsjuegos.com.mx",""
"domain","ar-tweets.com",""
"domain","arab-share.com",""
"domain","arabia-islamion.com",""
"domain","arabnews365.com",""
"domain","arabworld.biz",""
"domain","arabworldnews.info",""
"domain","aressl.com",""
"domain","arguablycrease.com",""
"domain","arguablyharpist.com",""
"domain","argueheadstand.com",""
"domain","armadillovanish.net",""
"domain","armfuldocile.net",""
"domain","armholereggae.com",""
"domain","arninja.eu",""
"domain","aromaprimal.net",""
"domain","around-theglobe.co",""
"domain","arrowowner.com",""
"domain","artmaster.uk",""
"domain","ascertainprance.net",""
"domain","ashbackbacktalk.org",""
"domain","ashbulb.com",""
"domain","ashbulb.net",""
"domain","ashiernanus.com",""
"domain","ashing.com",""
"domain","ashinglines.com",""
"domain","ashobligation.com",""
"domain","ashtalking.com",""
"domain","ashtraininggoal.com",""
"domain","asnapieu.com",""
"domain","asparagusdeviation.net",""
"domain","asrararabiya.co",""
"domain","asrararablya.com",""
"domain","asrarrarabiya.com",""
"domain","asresidence.info",""
"domain","assembled-battery.com",""
"domain","asset.es",""
"domain","astronauturban.link",""
"domain","astroplanet.org",""
"domain","atbluenotes.net",""
"domain","ateliernow.org",""
"domain","atfoot.com",""
"domain","atheart.com",""
"domain","atlaslions.info",""
"domain","attainviolin.com",""
"domain","attemptbonus.org",""
"domain","attemptmousy.net",""
"domain","atten.net",""
"domain","attendeeblog.com",""
"domain","atterer.com",""
"domain","atterer.net",""
"domain","atticlethargic.com",""
"domain","attractorbronchial.net",""
"domain","attributequickly.com",""
"domain","atypicalunwritten.link",""
"domain","audaciousvoting.net",""
"domain","audiencepostage.net",""
"domain","auditorcast.com",""
"domain","augmentedgreyhound.net",""
"domain","auraupend.net",""
"domain","aurorasongs.net",""
"domain","authenticangry.com",""
"domain","authenticate.azure",""
"domain","authenticated-origin.com",""
"domain","authlovebirth.com",""
"domain","autodiscount.info",""
"domain","automakerlasso.net",""
"domain","automatedpaddling.com",""
"domain","automatedrelax.org",""
"domain","automatedsynopsis.net",""
"domain","autoredirect.net",""
"domain","autotechhelp.net",""
"domain","av-scanner.com",""
"domain","availabletidings.org",""
"domain","avenuereborn.com",""
"domain","avidunleaded.com",""
"domain","avorful.net",""
"domain","avorful.org",""
"domain","avors.com",""
"domain","awardantiquity.net",""
"domain","awardcomprised.com",""
"domain","awardpractice.com",""
"domain","awizo.info",""
"domain","awsdns-10.net",""
"domain","awsdns-48.org",""
"domain","awsdns-56.co.uk",""
"domain","axept.io",""
"domain","axis-indication.net",""
"domain","b-cdn.com",""
"domain","b-cdn.info",""
"domain","babies-bottles.com",""
"domain","backbonedscouring.net",""
"domain","backlightsingular.net",""
"domain","backpackerreviews.org",""
"domain","backpedalclover.com",""
"domain","backrestcrane.org",""
"domain","backrestracoon.org",""
"domain","backsidenifty.net",""
"domain","backtalkseptum.link",""
"domain","bacteriaoverall.com",""
"domain","badgecoexist.com",""
"domain","badgeensure.net",""
"domain","badnessbackdrop.net",""
"domain","badnesswobble.org",""
"domain","bagfulbunkmate.com",""
"domain","baggiedrivable.com",""
"domain","bahrainsms.co",""
"domain","bakeryanatomist.net",""
"domain","bakeshopslashing.com",""
"domain","balancewreckpoint.com",""
"domain","banca-movil.com",""
"domain","banishheap.net",""
"domain","bankportal.net",""
"domain","banneruniverse.net",""
